[2023-03-04 18-27-24] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss = -4.3e+01
   inp  : [s =  4.3e+01] здблоьп
   out  : [s =  0.0e+00] hello
   rev  : [s =  1.8e+01] здравствуйте

#     2 : loss = -4.2e+01
   inp  : [s =  4.2e+01] ьвднэйу
   out  : [s =  0.0e+00] Today
   rev  : [s =  1.5e+01] Сегодня

#     3 : loss = -4.0e+01
   inp  : [s =  4.0e+01] онуьлйц
   out  : [s =  0.0e+00] online
   rev  : [s =  1.3e+01] онлайн

#     4 : loss = -3.5e+01
   inp  : [s =  4.6e+01] смэёыюш
   out  : [s =  1.1e+01] see also
   rev  : [s =  2.1e+01] смотрите также

#     5 : loss = -3.5e+01
   inp  : [s =  4.7e+01] иысвщёы
   out  : [s =  1.2e+01] and more
   rev  : [s =  1.1e+01] и более

#     6 : loss = -3.3e+01
   inp  : [s =  3.7e+01] схисеъм
   out  : [s =  4.4e+00] scheme
   rev  : [s =  1.7e+01] схема

#     7 : loss = -3.1e+01
   inp  : [s =  4.4e+01] мощыъпз
   out  : [s =  1.2e+01] The power of the
   rev  : [s =  2.4e+01] Сила этого

#     8 : loss = -3.1e+01
   inp  : [s =  5.7e+01] кццжйхк
   out  : [s =  2.6e+01] kccjhk
   rev  : [s =  2.6e+01] kccjhk

#     9 : loss = -3.1e+01
   inp  : [s =  5.1e+01] ътшмщэь
   out  : [s =  2.0e+01] kommersant
   rev  : [s =  3.1e+01] коммерсант

#    10 : loss = -2.8e+01
   inp  : [s =  4.8e+01] ъубщжёь
   out  : [s =  2.0e+01] kommersant
   rev  : [s =  3.1e+01] коммерсант

#    11 : loss = -2.8e+01
   inp  : [s =  5.3e+01] ъььгрвх
   out  : [s =  2.5e+01] ygrvh
   rev  : [s =  3.4e+01] ггрвх

#    12 : loss = -2.7e+01
   inp  : [s =  6.5e+01] кмтсгфк
   out  : [s =  3.7e+01] kmtsgfc
   rev  : [s =  3.7e+01] kmtsgfc

#    13 : loss = -2.7e+01
   inp  : [s =  5.9e+01] иощсцйм
   out  : [s =  3.1e+01] ioschcym
   rev  : [s =  1.9e+01] иошким

#    14 : loss = -2.6e+01
   inp  : [s =  4.4e+01] нзеъёаь
   out  : [s =  1.7e+01] nzeea
   rev  : [s =  2.0e+01] нзеа

#    15 : loss = -2.6e+01
   inp  : [s =  4.0e+01] бмъчкьь
   out  : [s =  1.4e+01] bmchk
   rev  : [s =  2.4e+01] бмчк

#    16 : loss = -2.6e+01
   inp  : [s =  5.0e+01] ъоэсйьм
   out  : [s =  2.4e+01] yoesm
   rev  : [s =  2.7e+01] йоесм

#    17 : loss = -2.6e+01
   inp  : [s =  4.6e+01] ъыклщьн
   out  : [s =  2.0e+01] kommersant
   rev  : [s =  3.1e+01] коммерсант

#    18 : loss = -2.5e+01
   inp  : [s =  5.1e+01] бьвтюья
   out  : [s =  2.5e+01] byuya
   rev  : [s =  1.9e+01] бюя

#    19 : loss = -2.5e+01
   inp  : [s =  4.3e+01] иьеьрёъ
   out  : [s =  1.7e+01] iyere
   rev  : [s =  9.5e+00] я здесь

