[2023-03-06 05-06-07] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss =  2.2e+01
   inp  : [s =  2.7e+02] ъыьгрвх ъоэсйьл ъокнёйф пщмёжны ъфоъкцж здкънсп вытёщдч
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     2 : loss =  2.2e+01
   inp  : [s =  2.6e+02] ъыллщьн ътшлшэь дщижщяп вытёщдч ъыллщьн ъоэсйьл ъжлхчлы
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     3 : loss =  2.2e+01
   inp  : [s =  2.9e+02] ъбывзлц ъфкщтнэ ъоэсйьл пщмёжны гфоаььн дщижщяп ъокнёйф
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     4 : loss =  2.2e+01
   inp  : [s =  2.5e+02] ъыллщьн ъоэсйьл штшнлхж быошийя штшнлхж ъфкщтнэ ъухвмгс
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     5 : loss =  2.2e+01
   inp  : [s =  2.2e+02] ъбывзлц ъфъыхлч ъфъыхлч мощыъпз ъокнёйф вытёщдч вытёщдч
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     6 : loss =  2.2e+01
   inp  : [s =  1.9e+02] ъыллщьн ъыллщьн уясъцёь ъыллщьн ътшлшэь пёвюмыц ъыллщьн
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     7 : loss =  2.2e+01
   inp  : [s =  2.8e+02] ъфъыхлч ътшлшэь бщагчёщ ъбывзлц ъоэсйьл гяшрьнп жхнаеыь
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     8 : loss =  2.2e+01
   inp  : [s =  2.4e+02] ъфкщтнэ ъувщжёь ъёефнся пщмёжны доцшлны ъыллщьн бщагчёщ
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#     9 : loss =  2.2e+01
   inp  : [s =  2.5e+02] ъыьгрвх ътшлшэь ъувщжёь ъухвмгс пёвюмыц бяёщжии ътшлшэь
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    10 : loss =  2.2e+01
   inp  : [s =  2.7e+02] ъбывзлц ътшлшэь ъувщжёь ъыьгрвх ъыллщьн ъоэсйьл здкънсп
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    11 : loss =  2.2e+01
   inp  : [s =  2.4e+02] ъувщжёь ъувщжёь ъбывзлц быошийя йтдкцяе гяшрьнп штшнлхж
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    12 : loss =  2.2e+01
