[2023-03-04 17-11-25] d=  7, evals=1.0e+03, k= 50, k_top=  5
===================== --------------------------------------

#     1 : loss = -4.3e+01
   inp  : [s =  4.3e+01] быелръъ
   out  : [s =  0.0e+00] formerly
   rev  : [s =  1.2e+01] ранее

#     2 : loss = -3.9e+01
   inp  : [s =  4.2e+01] пдлешйщ
   out  : [s =  2.5e+00] Synopsis:
   rev  : [s =  4.1e+01] Синопсис:

#     3 : loss = -3.9e+01
   inp  : [s =  4.3e+01] бысёъгч
   out  : [s =  4.6e+00] Quickly
   rev  : [s =  2.1e+01] Быстро

#     4 : loss = -3.7e+01
   inp  : [s =  3.9e+01] чтьёиэе
   out  : [s =  2.2e+00] READ MORE
   rev  : [s =  3.6e+01] ЧИТАТЬ ДАЛЕЕ

#     5 : loss = -3.5e+01
   inp  : [s =  3.7e+01] щосющйе
   out  : [s =  2.5e+00] Synopsis:
   rev  : [s =  4.1e+01] Синопсис:

#     6 : loss = -3.5e+01
   inp  : [s =  3.5e+01] быншийя
   out  : [s =  0.0e+00] former
   rev  : [s =  2.0e+01] бывший

#     7 : loss = -3.0e+01
   inp  : [s =  5.6e+01] зсзгвлэ
   out  : [s =  2.5e+01] ssgvle
   rev  : [s =  2.5e+01] ssgvle

#     8 : loss = -3.0e+01
   inp  : [s =  4.9e+01] бгаьъэы
   out  : [s =  1.9e+01] bgaiy
   rev  : [s =  1.9e+01] bgaiy

#     9 : loss = -2.8e+01
   inp  : [s =  3.9e+01] дачэщйч
   out  : [s =  1.2e+01] Dachshund
   rev  : [s =  1.8e+01] Такса

#    10 : loss = -2.8e+01
   inp  : [s =  2.8e+01] бреощее
   out  : [s =  0.0e+00] Breaking
   rev  : [s =  2.1e+01] Нарушение

#    11 : loss = -2.7e+01
   inp  : [s =  5.1e+01] бжкльлш
   out  : [s =  2.4e+01] bjklsh
   rev  : [s =  2.4e+01] bjklsh

#    12 : loss = -2.7e+01
   inp  : [s =  3.0e+01] оощвишн
   out  : [s =  3.3e+00] Promotion
   rev  : [s =  1.8e+01] Продвижение

#    13 : loss = -2.5e+01
   inp  : [s =  3.4e+01] ощуъиъв
   out  : [s =  9.3e+00] Feelings
   rev  : [s =  2.1e+01] Чувства

#    14 : loss = -2.4e+01
   inp  : [s =  4.5e+01] гбьъьиэ
   out  : [s =  2.1e+01] gbjie
   rev  : [s =  2.1e+01] gbjie

#    15 : loss = -2.4e+01
   inp  : [s =  3.2e+01] рыьдяно
   out  : [s =  7.5e+00] snarky
   rev  : [s =  1.6e+01] язвительный

#    16 : loss = -2.4e+01
   inp  : [s =  4.3e+01] жьрэиэф
   out  : [s =  2.0e+01] zhreif
   rev  : [s =  2.4e+01] жрайф

#    17 : loss = -2.4e+01
   inp  : [s =  4.7e+01] жцчыщцй
   out  : [s =  2.3e+01] Žučičky
   rev  : [s =  2.3e+01] Žučičky

#    18 : loss = -2.3e+01
   inp  : [s =  3.3e+01] чёхёшьч
   out  : [s =  9.7e+00] What the fuck
   rev  : [s =  3.4e+01] Какого хрена

#    19 : loss = -2.3e+01
   inp  : [s =  5.6e+01] зжнмкьъ
   out  : [s =  3.2e+01] zznnmkj
